num_paralela,num_x,tercero,cod_op,op_2021,apli,importe,exp_gasto,exp_gestor,num_error,error
00159222B10001420,00159218310146037,000S2830284B,2002300,00159218330003809,20221403  122B1  655,131284500.45,103000004130,2018140030106000001,3,Insuficiencia de saldo en Superproyecto-Aplicación 20221403  122B   65      de importe 131284500.45.
00159222B10001420,00159218310146037,000S2830284B,2002300,00159218330003809,20221403  122B1  655,131284500.45,103000004130,2018140030106000001,4,Insuficiencia de saldo en Proyecto-Aplicación 20221403  122B   65      de importe 131284500.45.
00159222B10001420,00159218310146037,000S2830284B,2002300,00159218330003809,20221403  122B1  655,131284500.45,103000004130,2018140030106000001,5,Clave 20221403  122B   65      inexistente en el fichero de importes TBSITEXPEDIENTE.
00159222B10001420,00159218310146037,000S2830284B,2002300,00159218330003809,20221403  122B1  655,131284500.45,103000004130,2018140030106000001,6,Los campos DIR3 son requeridos
00159222B10001421,00159220310047385,*,2001000,00159220330001701,20221403  122A   650,5351820.96,103000004275,2018140030107000003,1,Los campos DIR3 son requeridos
00159222B10001422,00159220310099979,000A28599033,2002300,00159220330004347,20221403  122A   650,5351820.96,103000009619,2018140030107000003,1,La aplicación 20221403  122A   650      no existe en la operación 00159220310047385
00159222B10001422,00159220310099979,000A28599033,2002300,00159220330004347,20221403  122A   650,5351820.96,103000009619,2018140030107000003,2,Insuficiencia de saldo en situación aplicación 20221403  122A   650     de importe TBSITGASCOR.
00159222B10001422,00159220310099979,000A28599033,2002300,00159220330004347,20221403  122A   650,5351820.96,103000009619,2018140030107000003,3,Insuficiencia de saldo en Superproyecto-Aplicación 20221403  122A   65      de importe 5351820.96.
00159222B10001422,00159220310099979,000A28599033,2002300,00159220330004347,20221403  122A   650,5351820.96,103000009619,2018140030107000003,4,Insuficiencia de saldo en Proyecto-Aplicación 20221403  122A   65      de importe 5351820.96.
00159222B10001422,00159220310099979,000A28599033,2002300,00159220330004347,20221403  122A   650,5351820.96,103000009619,2018140030107000003,5,Clave 20221403  122A   65      inexistente en el fichero de importes TBSITEXPEDIENTE.
00159222B10001422,00159220310099979,000A28599033,2002300,00159220330004347,20221403  122A   650,5351820.96,103000009619,2018140030107000003,6,Los campos DIR3 son requeridos
00159222B10001423,00159220310085201,*,2001000,00159220330003705,20221403  122A   650,3478074.30,103000007949,2018140030107000005,1,Los campos DIR3 son requeridos
00159222B10001424,00159220310095426,000A28599033,2002300,00159220330004057,20221403  122A   650,3478074.30,103000008832,2018140030107000005,1,La aplicación 20221403  122A   650      no existe en la operación 00159220310085201
00159222B10001424,00159220310095426,000A28599033,2002300,00159220330004057,20221403  122A   650,3478074.30,103000008832,2018140030107000005,2,Insuficiencia de saldo en situación aplicación 20221403  122A   650     de importe TBSITGASCOR.
00159222B10001424,00159220310095426,000A28599033,2002300,00159220330004057,20221403  122A   650,3478074.30,103000008832,2018140030107000005,3,Insuficiencia de saldo en Superproyecto-Aplicación 20221403  122A   65      de importe 3478074.3.
00159222B10001424,00159220310095426,000A28599033,2002300,00159220330004057,20221403  122A   650,3478074.30,103000008832,2018140030107000005,4,Insuficiencia de saldo en Proyecto-Aplicación 20221403  122A   65      de importe 3478074.3.
00159222B10001424,00159220310095426,000A28599033,2002300,00159220330004057,20221403  122A   650,3478074.30,103000008832,2018140030107000005,5,Clave 20221403  122A   65      inexistente en el fichero de importes TBSITEXPEDIENTE.
00159222B10001424,00159220310095426,000A28599033,2002300,00159220330004057,20221403  122A   650,3478074.30,103000008832,2018140030107000005,6,Los campos DIR3 son requeridos
00159222B10001427,00159219310010242,*,2001000,00159219330000263,20221403  122B1  658,101198675.21,103000000452,2019140030101000001,1,Los campos DIR3 son requeridos
00159222B10001428,00159219310010968,000A78648110,2002300,00159219330000283,20221403  122B1  658,101198675.21,103000000563,2019140030101000001,1,La aplicación 20221403  122B1  658      no existe en la operación 00159219310010242
00159222B10001428,00159219310010968,000A78648110,2002300,00159219330000283,20221403  122B1  658,101198675.21,103000000563,2019140030101000001,2,Insuficiencia de saldo en situación aplicación 20221403  122B1  658     de importe TBSITGASCOR.
00159222B10001428,00159219310010968,000A78648110,2002300,00159219330000283,20221403  122B1  658,101198675.21,103000000563,2019140030101000001,3,Insuficiencia de saldo en Superproyecto-Aplicación 20221403  122B   65      de importe 101198675.21.
00159222B10001428,00159219310010968,000A78648110,2002300,00159219330000283,20221403  122B1  658,101198675.21,103000000563,2019140030101000001,4,Insuficiencia de saldo en Proyecto-Aplicación 20221403  122B   65      de importe 101198675.21.
00159222B10001428,00159219310010968,000A78648110,2002300,00159219330000283,20221403  122B1  658,101198675.21,103000000563,2019140030101000001,5,Clave 20221403  122B   65      inexistente en el fichero de importes TBSITEXPEDIENTE.
00159222B10001428,00159219310010968,000A78648110,2002300,00159219330000283,20221403  122B1  658,101198675.21,103000000563,2019140030101000001,6,Los campos DIR3 son requeridos
00159222B10001429,00159220310061014,*,2001000,00159220330002539,20221403  122B1  658,16551450.00,103000005644,2019140030101000002,1,Los campos DIR3 son requeridos
00159222B10001430,00159220310102652,*,2002100,00159220330004186,20221403  122B1  658,16551450.00,103000008907,2019140030101000002,1,La aplicación 20221403  122B1  658      no existe en la operación 00159220310061014
00159222B10001430,00159220310102652,*,2002100,00159220330004186,20221403  122B1  658,16551450.00,103000008907,2019140030101000002,2,Insuficiencia de saldo en situación aplicación 20221403  122B1  658     de importe TBSITGASCOR.
00159222B10001430,00159220310102652,*,2002100,00159220330004186,20221403  122B1  658,16551450.00,103000008907,2019140030101000002,3,Insuficiencia de saldo en Superproyecto-Aplicación 20221403  122B   65      de importe 16551450.
00159222B10001430,00159220310102652,*,2002100,00159220330004186,20221403  122B1  658,16551450.00,103000008907,2019140030101000002,4,Insuficiencia de saldo en Proyecto-Aplicación 20221403  122B   65      de importe 16551450.
00159222B10001430,00159220310102652,*,2002100,00159220330004186,20221403  122B1  658,16551450.00,103000008907,2019140030101000002,5,Clave 20221403  122B   65      inexistente en el fichero de importes TBSITEXPEDIENTE.
00159222B10001430,00159220310102652,*,2002100,00159220330004186,20221403  122B1  658,16551450.00,103000008907,2019140030101000002,6,Los campos DIR3 son requeridos
00159222B10001431,00159220310106556,000A28599033,2003000,00159220330004433,20221403  122B1  658,16551450.00,103000009427,2019140030101000002,1,La aplicación 20221403  122B1  658      no existe en la operación 00159220310102652
00159222B10001431,00159220310106556,000A28599033,2003000,00159220330004433,20221403  122B1  658,16551450.00,103000009427,2019140030101000002,2,Insuficiencia de saldo en situación aplicación 20221403  122B1  658     de importe TBSITGASCOR.
00159222B10001431,00159220310106556,000A28599033,2003000,00159220330004433,20221403  122B1  658,16551450.00,103000009427,2019140030101000002,3,Insuficiencia de saldo en Superproyecto-Aplicación 20221403  122B   65      de importe 16551450.
00159222B10001431,00159220310106556,000A28599033,2003000,00159220330004433,20221403  122B1  658,16551450.00,103000009427,2019140030101000002,4,Insuficiencia de saldo en Proyecto-Aplicación 20221403  122B   65      de importe 16551450.
00159222B10001431,00159220310106556,000A28599033,2003000,00159220330004433,20221403  122B1  658,16551450.00,103000009427,2019140030101000002,5,Clave 20221403  122B   65      inexistente en el fichero de importes TBSITEXPEDIENTE.
